graph_path;num_irred_sph;num_irred_aff;num_sph_rank_dm;num_sph_rank_d;num_aff_rank_dm;compact;finvol;time;comment
Tumarkin simplices/11-tum04_12_04-drop_10.coxiter;;;;;;false;false;;
Tumarkin simplices/11-tum04_12_04-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/11-tum04_12_05-drop_10.coxiter;;;;;;false;false;;
Tumarkin simplices/11-tum04_12_05-drop_13.coxiter;;;;;;false;false;;
Tumarkin simplices/11-tum04_12_05-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/12-tum04_12_01-drop_12.coxiter;;;;;;false;false;;
Tumarkin simplices/12-tum04_12_01-drop_13.coxiter;;;;;;false;false;;
Tumarkin simplices/12-tum04_12_01-drop_14.coxiter;;;;;;false;false;;
Tumarkin simplices/12-tum04_12_01-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/12-tum04_12_02-drop_13.coxiter;;;;;;false;false;;
Tumarkin simplices/12-tum04_12_02-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_01-drop_14.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_01-drop_15.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_01-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_02-drop_13.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_02-drop_14.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_02-drop_15.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_02-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_03-drop_12.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_03-drop_13.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_03-drop_14.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_03-drop_15.coxiter;;;;;;false;false;;
Tumarkin simplices/13-tum04_13_03-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=2-n=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=2-n=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=2-n=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=2-n=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=3-n=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=3-n=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=4-n=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=3-m=4-n=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=2-n=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=2-n=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=2-n=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=2-n=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=3-n=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=3-n=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=4-n=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=2-l=4-m=4-n=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=3-l=3-m=2-n=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=3-l=3-m=2-n=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=3-l=4-m=2-n=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=3-l=4-m=2-n=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=4-l=3-m=2-n=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=4-l=3-m=2-n=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=4-l=4-m=2-n=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_01-k=4-l=4-m=2-n=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=2-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=2-m=2-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=2-m=3-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=3-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=4-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=5-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=5-l=6-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=2-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=2-m=2-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=2-m=3-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=3-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=4-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=5-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/3-tum04_07_02-k=6-l=6-m=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=2-l=3-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=2-l=3-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=2-l=4-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=2-l=4-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=3-l=3-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=3-l=4-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=4-l=3-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=4-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_01-k=4-l=4-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=2-l=3-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=2-l=4-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_02-k=4-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_03-k=2-l=3-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_03-k=2-l=4-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_04-k=2-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_05-k=2-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_05-k=2-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_05-k=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_06-k=2-l=3-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_06-k=2-l=4-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_06-k=2-l=5-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=2-l=3-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=2-l=4-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=2-l=5-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=2-l=5-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=3-l=5-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=4-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=4-l=5-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=5-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=5-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/4-tum04_07_07-k=5-l=5-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_01-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_01-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_02-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_03-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_04-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_04-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_07-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_08-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_08-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_09-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_09-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_10-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_11-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_11-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_11-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_11-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_12-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_12-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_12-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_13-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_13-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_14-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_14-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_15-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_15-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_15-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_17-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_18-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_20-k=2-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_20-k=2-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_20-k=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_21-k=2-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_21-k=2-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_21-k=2-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_21-k=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_21-k=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_22-k=2-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=2-l=3-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=2-l=3-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=2-l=4-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=2-l=4-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=3-l=3-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=3-l=4-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
